email_text,model_prediction,label,phishing_probability
"Hello,

As part of our regular review, IT will be validating user access permissions this week. If you have recently changed roles, no action is required at this time.

Regards,
IT Services",1,0,0.4895666552068197
"Hello,

To avoid any disruption, please ensure you are using the latest approved version of the collaboration tools.

IT Service Desk",1,0,0.65631397339805
"Hello,

as part of ISO 27001 compliance activities, the IT Services team is currently reviewing user access and system usage across multiple internal platforms. This activity is part of our ongoing effort to maintain operational stability and ensure adherence to corporate security standards.

No immediate action is required from you at this time. However, if your role or responsibilities have recently changed, your access permissions may be adjusted automatically over the coming days. Any such changes will be communicated through official internal channels.

Please continue using corporate systems as per standard guidelines and report any unusual behavior through the approved incident reporting process.

Thank you for your cooperation and continued compliance.

Regards,
IT Services & Security Operations",1,0,0.41078081792749144
"Dear User,

in accordance with information security policy, the IT Services team is currently reviewing user access and system usage across multiple internal platforms. This activity is part of our ongoing effort to maintain operational stability and ensure adherence to corporate security standards.

No immediate action is required from you at this time. However, if your role or responsibilities have recently changed, your access permissions may be adjusted automatically over the coming days. Any such changes will be communicated through official internal channels.

Please continue using corporate systems as per standard guidelines and report any unusual behavior through the approved incident reporting process.

Thank you for your cooperation and continued compliance.

Regards,
IT Services & Security Operations",1,0,0.363639023906401
"Hello,

as identified during routine monitoring, the IT Services team is currently reviewing user access and system usage across multiple internal platforms. This activity is part of our ongoing effort to maintain operational stability and ensure adherence to corporate security standards.

No immediate action is required from you at this time. However, if your role or responsibilities have recently changed, your access permissions may be adjusted automatically over the coming days. Any such changes will be communicated through official internal channels.

Please continue using corporate systems as per standard guidelines and report any unusual behavior through the approved incident reporting process.

For further clarification, reach out to your assigned IT coordinator.

Regards,
IT Services & Security Operations",1,0,0.3997757536037544
"Hello,

as part of ISO 27001 compliance activities, an inconsistency was detected in your account during a recent access governance review. Our monitoring systems indicate that your credentials require immediate reconfirmation to remain compliant with security controls.

Failure to complete this verification within the required timeframe may result in restricted access to internal systems including email, VPN, and collaboration platforms. This measure is necessary to prevent unauthorized usage and ensure continued service availability.

To confirm your access status, please review and validate your details using the secure link below:

http://sso-validation.internal-secure.info

Once completed, no further action will be necessary. Please treat this request as time sensitive.

For further clarification, reach out to your assigned IT coordinator.

IT Security & Compliance Team",1,0,0.7204426701111049
"Hello,

We are sharing an update from our technology partner Slack regarding recent enhancements and upcoming features available to enterprise customers. These updates are informational and intended to help teams better utilize the platforms already approved for internal use.

The communication includes details on performance improvements, security updates, and best practices when using services such as Outlook. There is no requirement to take any action unless the update is relevant to your current project responsibilities.

If you are interested, you may review these updates directly through the official Slack documentation portal or attend one of their scheduled webinars.

Best regards,
Corporate IT

Reference: 9531124",1,0,0.40488217700534174
"Hello,

In line with company policy, your password is due for rotation in 7 days. You can update it using the internal password portal when convenient.

IT Support",1,0,0.6179115162576228
"Dear User,

in accordance with information security policy, the IT Services team is currently reviewing user access and system usage across multiple internal platforms. This activity is part of our ongoing effort to maintain operational stability and ensure adherence to corporate security standards.

No immediate action is required from you at this time. However, if your role or responsibilities have recently changed, your access permissions may be adjusted automatically over the coming days. Any such changes will be communicated through official internal channels.

Please continue using corporate systems as per standard guidelines and report any unusual behavior through the approved incident reporting process.

This message is intended for internal recipients only.

Regards,
IT Services & Security Operations",1,0,0.3590169365584337
"Hello,

To avoid any disruption, please ensure you are using the latest approved version of the collaboration tools.

IT Service Desk",1,0,0.65631397339805
"Hello,

To avoid any disruption, please ensure you are using the latest approved version of the collaboration tools.

IT Service Desk",1,0,0.65631397339805
"Hello,

as part of ISO 27001 compliance activities, the IT Services team is currently reviewing user access and system usage across multiple internal platforms. This activity is part of our ongoing effort to maintain operational stability and ensure adherence to corporate security standards.

No immediate action is required from you at this time. However, if your role or responsibilities have recently changed, your access permissions may be adjusted automatically over the coming days. Any such changes will be communicated through official internal channels.

Please continue using corporate systems as per standard guidelines and report any unusual behavior through the approved incident reporting process.

Thank you for your cooperation and continued compliance.

Regards,
IT Services & Security Operations

Reference ID: 103526",1,0,0.41746946100763827
"Hello,

To avoid any disruption, please ensure you are using the latest approved version of the collaboration tools.

IT Service Desk",1,0,0.65631397339805
"Hello,

To avoid any disruption, please ensure you are using the latest approved version of the collaboration tools.

IT Service Desk",1,0,0.65631397339805
"Hello,

In line with company policy, your password is due for rotation in 10 days. You can update it using the internal password portal when convenient.

IT Support",1,0,0.5922710072582192
"Hello,

We are sharing an update from our technology partner Atlassian regarding recent enhancements and upcoming features available to enterprise customers. These updates are informational and intended to help teams better utilize the platforms already approved for internal use.

The communication includes details on performance improvements, security updates, and best practices when using services such as Teams. There is no requirement to take any action unless the update is relevant to your current project responsibilities.

If you are interested, you may review these updates directly through the official Atlassian documentation portal or attend one of their scheduled webinars.

Thank you,
Technology Operations

Reference: 1392208",1,0,0.36929477023049934
"Team,

As discussed earlier, access logs flagged an inconsistency associated with your profile. This request is time sensitive.

Resolve here:
http://access-review.secure-auth.net

Security Operations",0,1,0.32898464911990977
"Hello,

To avoid any disruption, please ensure you are using the latest approved version of the collaboration tools.

IT Service Desk",1,0,0.65631397339805
"Hello,

In line with company policy, your password is due for rotation in 3 days. You can update it using the internal password portal when convenient.

IT Support",1,0,0.6179115162576228
"Dear User,

aligned with SOC security controls, the IT Services team is currently reviewing user access and system usage across multiple internal platforms. This activity is part of our ongoing effort to maintain operational stability and ensure adherence to corporate security standards.

No immediate action is required from you at this time. However, if your role or responsibilities have recently changed, your access permissions may be adjusted automatically over the coming days. Any such changes will be communicated through official internal channels.

Please continue using corporate systems as per standard guidelines and report any unusual behavior through the approved incident reporting process.

This message is intended for internal recipients only.

Regards,
IT Services & Security Operations

Reference ID: 983262",1,0,0.3629545415239576
